City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Yerofey Pavlovich,RU,71.64,overcast clouds,53.9667,121.9667,lounges and warm parking
490,Shizunai,JP,70.99,scattered clouds,42.3339,142.3669,Shizunai Eclipse Hotel
491,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
492,Coxim,BR,71.65,scattered clouds,-18.5067,-54.76,Hotel Avenida
495,Westport,US,83.62,clear sky,41.1415,-73.3579,The Westport Inn
497,Kalmunai,LK,81.28,overcast clouds,7.4167,81.8167,VS Villa
498,Gardendale,US,88.7,broken clouds,33.6601,-86.8128,Microtel Inn & Suites by Wyndham Gardendale
500,Suhbaatar,MN,69.01,broken clouds,50.2314,106.2078,Hotel Nine
501,Katsuura,JP,80.67,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
508,Lake City,US,78.78,clear sky,30.1897,-82.6393,Ramada Limited Lake City
509,Tiarei,PF,80.01,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
511,,,,,,,
512,Vero Beach,US,84.99,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
516,Shirvan,AZ,74.68,clear sky,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
517,Bhera,PK,78.55,overcast clouds,32.4832,72.9097,Shahmeer Tea stall
521,Grand-Lahou,CI,73.81,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
523,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
524,Kumluca,TR,80.8,clear sky,36.3703,30.2869,Akkol Apart
525,Fulton,US,86.09,scattered clouds,33.7668,-84.4499,The Blue Door
526,Mabaruma,GY,72.66,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
527,Pacific Grove,US,75.2,broken clouds,36.6177,-121.9166,Lovers Point Inn
529,Nuevo Casas Grandes,MX,91.26,overcast clouds,30.4167,-107.9167,Hotel Villa Colonial
530,Irricana,CA,78.78,clear sky,51.3237,-113.6048,Irricana Campground
531,Balabac,PH,85.19,broken clouds,7.9868,117.0645,Batalla’s Lodging House
534,Yanam,IN,84.51,overcast clouds,16.7333,82.2167,The Regency Hotel
535,Plover,US,78.55,clear sky,44.4564,-89.544,Hampton Inn Plover-Stevens Point
