City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Kununurra
380,Katherine,AU,79.12,scattered clouds,-14.4667,132.2667,Katherine
382,Moengo,SR,72.86,few clouds,5.6167,-54.4,Moengo
386,Awjilah,LY,72.27,clear sky,29.1081,21.2869,Awjilah
391,Williston,US,77.74,clear sky,48.147,-103.618,Williston
392,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Fergana
394,Port-Gentil,GA,73.96,overcast clouds,-0.7193,8.7815,Port-Gentil
398,Delicias,ES,74.88,clear sky,41.6493,-0.9076,Zaragoza
401,Panguna,PG,79.74,overcast clouds,-6.3164,155.4848,Panguna
404,Ranong,TH,76.93,moderate rain,9.9658,98.6348,Bang Rin
407,Phan Thiet,VN,79.75,overcast clouds,10.9333,108.1,Phan Thiet
410,Conakry,GN,76.6,moderate rain,9.538,-13.6773,Conakry
411,Buchanan,LR,74.73,overcast clouds,5.8808,-10.0467,Buchanan
413,Tuy Hoa,VN,80.46,overcast clouds,13.0833,109.3,Tuy Hòa
414,Quang Ngai,VN,78.31,overcast clouds,15.1167,108.8,Quảng Ngãi
417,Pasighat,IN,78.57,overcast clouds,28.0667,95.3333,Pasighat
420,Dzilam Gonzalez,MX,81.7,few clouds,21.2833,-88.9333,Dzilam González
421,Oussouye,SN,76.5,overcast clouds,12.485,-16.5469,Oussouye
422,Kimparana,ML,74.68,light rain,12.8347,-4.9244,Kemparana
423,Kapit,MY,85.51,broken clouds,2.0167,112.9333,Kapit
427,Filingue,NE,84.51,overcast clouds,14.3521,3.3168,Filingué
431,Corinto,GR,76.89,clear sky,37.9407,22.9573,Corinth
435,Griffith,US,82.06,scattered clouds,41.5284,-87.4237,Gary
436,Kupang,ID,83.95,broken clouds,-10.1667,123.5833,Kupang
443,Slave Lake,CA,73.38,clear sky,55.2834,-114.769,Slave Lake
445,Zhangjiakou,CN,82.22,clear sky,40.81,114.8794,Zhangjiakou
446,Kirksville,US,80.82,clear sky,40.1948,-92.5833,Kirksville
448,Touros,BR,73.06,overcast clouds,-5.1989,-35.4608,Touros
451,Karangasem,ID,78.1,overcast clouds,-8.45,115.6167,Amlapura
455,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Neiafu
458,Bay City,US,77.41,overcast clouds,43.5945,-83.8889,Bay City
459,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,Balikpapan
463,Kendari,ID,80.24,few clouds,-3.945,122.4989,Kendari
470,Atar,MR,83.23,scattered clouds,20.5169,-13.0499,Atar
478,Itaueira,BR,75.25,few clouds,-7.6033,-43.0256,Itaueira
479,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Cabedelo
483,Beibei,CN,83.37,broken clouds,29.8256,106.4339,Chongqing
484,Miyako,JP,75.25,overcast clouds,39.6367,141.9525,Miyako
486,Simpang,ID,81.1,scattered clouds,-1.2667,104.0833,Simpang
487,Mazamari,PE,73.63,overcast clouds,-11.3258,-74.5308,Urb Barrio Sector 1
491,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Cayenne
495,Westport,US,83.62,clear sky,41.1415,-73.3579,Norwalk
497,Kalmunai,LK,81.28,overcast clouds,7.4167,81.8167,Kalmunai
501,Katsuura,JP,80.67,heavy intensity rain,35.1333,140.3,Katsuura
508,Lake City,US,78.78,clear sky,30.1897,-82.6393,Lake City
509,Tiarei,PF,80.01,clear sky,-17.5333,-149.3333,Maha'ena
512,Vero Beach,US,84.99,clear sky,27.6386,-80.3973,Vero Beach
516,Shirvan,AZ,74.68,clear sky,39.9509,48.8994,Shirvan
517,Bhera,PK,78.55,overcast clouds,32.4832,72.9097,Bhera
521,Grand-Lahou,CI,73.81,overcast clouds,5.1367,-5.0242,Grand-Lahou
524,Kumluca,TR,80.8,clear sky,36.3703,30.2869,Kumluca
526,Mabaruma,GY,72.66,overcast clouds,8.2,-59.7833,Mabaruma
527,Pacific Grove,US,75.2,broken clouds,36.6177,-121.9166,Monterey
530,Irricana,CA,78.78,clear sky,51.3237,-113.6048,Irricana
531,Balabac,PH,85.19,broken clouds,7.9868,117.0645,Balabac
534,Yanam,IN,84.51,overcast clouds,16.7333,82.2167,Yanam
535,Plover,US,78.55,clear sky,44.4564,-89.544,Stevens Point
538,Tukrah,LY,75.45,clear sky,32.5341,20.5791,Tocra
542,Ayia Paraskevi,GR,75.76,clear sky,40.4833,23.05,Kardia
543,Lodwar,KE,74.68,overcast clouds,3.1191,35.5973,Lodwar
544,Takoradi,GH,72.57,few clouds,4.8845,-1.7554,Takoradi
545,Ouro Preto Do Oeste,BR,73.31,clear sky,-10.7481,-62.2158,Ouro Preto do Oeste
546,Tiquicheo,MX,76.55,broken clouds,18.8833,-100.7333,Tiquicheo
547,Adre,TD,74.86,scattered clouds,13.4667,22.2,Adre
548,Esperantinopolis,BR,72.01,few clouds,-4.8667,-44.7083,Jenipapo
549,Itaituba,BR,79.05,overcast clouds,-4.2761,-55.9836,Itaituba
550,North Bend,US,72.25,overcast clouds,43.4065,-124.2243,Coos Bay
552,Lixourion,GR,76.78,clear sky,38.2019,20.4314,Argostolion
555,Sao Felix Do Xingu,BR,79.48,overcast clouds,-6.6447,-51.995,São Félix do Xingu
560,Beckley,US,77.41,clear sky,37.7782,-81.1882,Beckley
561,Kochi,IN,77.02,overcast clouds,9.9399,76.2602,Kochi
563,Mumford,GH,72.82,scattered clouds,5.2618,-0.759,Mumford
564,Chattanooga,US,84.02,scattered clouds,35.0456,-85.3097,Chattanooga
565,Nowogard,PL,76.96,clear sky,53.6744,15.1163,Nowogard
567,Tari,NG,78.08,moderate rain,12.4086,4.4914,Kashin Zama
569,Bongor,TD,73.17,light rain,10.2806,15.3722,Bongor
570,Codo,BR,72.68,clear sky,-4.4553,-43.8856,Codó
573,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Alofi
574,Superior,US,81.48,clear sky,46.7208,-92.1041,Duluth
575,Porto Nacional,BR,73.4,clear sky,-10.7081,-48.4172,Porto Nacional
577,Kavaratti,IN,80.74,light rain,10.5669,72.642,Kavaratti
580,Luba,GQ,73.29,light rain,3.4568,8.5547,Luba
581,Pasni,PK,82.53,overcast clouds,25.2631,63.471,Pasni
583,Hohhot,CN,77.29,clear sky,40.8106,111.6522,Hohhot
585,Padang,ID,77.05,light rain,-0.9492,100.3543,Padang
586,Kiunga,PG,74.48,overcast clouds,-6.1219,141.2906,Kiunga
588,Muvattupula,IN,76.78,overcast clouds,9.9667,76.5833,Muvattupuzha
596,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,Port Hedland
598,Zhezkazgan,KZ,76.98,scattered clouds,47.8043,67.7144,Zhezqazghan
603,Nioro,GM,75.09,light rain,13.35,-15.75,Nioro
604,Labuhan,ID,81.68,clear sky,-6.8844,112.2051,Musholla Babut Taubat
606,Abu Kamal,SY,84.74,clear sky,34.4506,40.9171,Al Bukamal
607,Grande Prairie,CA,77.18,broken clouds,55.1667,-118.8027,Grande Prairie
608,Jangaon,IN,76.69,overcast clouds,17.7167,79.1833,Jangaon
610,Tahoua,NE,81.19,overcast clouds,14.8888,5.2692,Tahoua
612,Atambua,ID,80.1,scattered clouds,-9.1061,124.8925,Atambua
615,Tabou,CI,74.68,overcast clouds,4.423,-7.3528,Tabou
616,Manicore,BR,75.15,clear sky,-5.8092,-61.3003,Manicoré
618,Milkovo,RU,82.56,broken clouds,54.7167,158.6167,Mil'kovo
619,Benjamin Constant,BR,78.93,overcast clouds,-4.3831,-70.0311,Benjamin Constant
626,Mao,ES,75.76,clear sky,39.8885,4.2658,Mahón
632,Salalah,OM,75.29,drizzle,17.0151,54.0924,Salalah
635,Salsomaggiore Terme,IT,77.92,clear sky,44.8148,9.9796,Salsomaggiore Terme
636,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
641,Port Keats,AU,84.81,broken clouds,-14.25,129.55,Thamarrurr
642,Linfen,CN,83.59,clear sky,36.0889,111.5189,Linfen
643,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,Acapulco
648,Ambulu,ID,79.41,few clouds,-8.345,113.6058,Sabrang
649,Goascoran,HN,82.24,overcast clouds,13.5833,-87.6167,Langue
652,Voh,NC,82.38,overcast clouds,-20.9667,164.7,Voh
653,Mitsamiouli,KM,75.11,clear sky,-11.3847,43.2844,Mitsamiouli
654,Glendive,US,84.49,clear sky,47.1053,-104.7125,Glendive
657,Semporna,MY,85.35,scattered clouds,4.4818,118.6112,Semporna
658,Sao Miguel,BR,74.17,light rain,-5.4667,-35.3667,Dom Marcolino
659,Bobo Dioulasso,BF,75.65,few clouds,11.1771,-4.2979,Bobo-Dioulasso
660,Benicarlo,ES,78.91,clear sky,40.4165,0.4271,Benicarló
661,Lubao,PH,78.87,moderate rain,14.9167,120.55,Lubao
662,Bubaque,GW,77.05,light rain,11.2833,-15.8333,Bubaque
665,Zaysan,KZ,74.88,broken clouds,47.4667,84.8667,Zaysan
666,San Remo,IT,81.09,clear sky,43.8182,7.7612,Sanremo
669,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Klouklubed
671,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Isangel
672,Ahuimanu,US,85.71,shower rain,21.4447,-157.8378,Honolulu
673,Pali,IN,82.08,broken clouds,25.7667,73.3333,Pali
674,Bud,US,84.22,clear sky,39.447,-86.1758,Trafalgar
675,Kumano,JP,80.94,overcast clouds,34.3442,132.5894,Hiroshima
678,Erzin,TR,74.39,clear sky,36.9559,36.2,Erzin
679,Darnah,LY,76.01,clear sky,32.767,22.6367,Derna
680,Najran,SA,84.85,overcast clouds,17.4924,44.1277,Najran
