City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
346,Toamasina,MG,71.6,-18.1667,49.3833,Hotel H1
348,Piacabucu,BR,73.67,-10.4056,-36.4344,Piaçabuçu News
349,Marsh Harbour,BS,82.42,26.5412,-77.0636,Abaco Beach Resort
352,Maumere,ID,81.45,-8.6199,122.2111,Sylvia Hotel
354,Tongliao,CN,73.63,43.6125,122.2653,Meirujia Hotel
358,Am Timan,TD,72.46,11.0297,20.2827,Palais du chef Canton Salamt
359,Cockburn Town,TC,82.26,21.4612,-71.1419,Osprey Beach Hotel
360,Biltine,TD,81.79,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
363,Nicoya,CR,75.15,10.1483,-85.452,Las Cabinas Del Sueño
364,Jalu,LY,72.46,29.0331,21.5482,صاحبة الفخامة
365,Aquiraz,BR,79.18,-3.9014,-38.3911,Pousada Rua Camurupim
367,Port Moresby,PG,81.88,-9.4431,147.1797,Lamana Hotel (Port Moresby)
370,Kutum,SD,72.82,14.2,24.6667,Dibbo areaمنطقة دبو
371,Mareeba,AU,76.48,-17.0,145.4333,Trinity Plains Tourist Park
373,Bellavista,PE,74.48,-7.0561,-76.5911,Hospedaje Bella Durmiente
374,,,,,,
375,Jussara,BR,71.56,-23.6214,-52.4694,Big hotel e Restaurante e hambugueria
377,,,,,,
378,Kununurra,AU,82.38,-15.7667,128.7333,Hotel Kununurra
380,Katherine,AU,79.12,-14.4667,132.2667,Pine Tree Motel
382,Moengo,SR,72.86,5.6167,-54.4,Masanga
386,Awjilah,LY,72.27,29.1081,21.2869,المنزل
391,Williston,US,77.74,48.147,-103.618,Hampton Inn & Suites Williston
392,Komsomolskiy,UZ,77.72,40.4272,71.7189,Ikathouse
394,Port-Gentil,GA,73.96,-0.7193,8.7815,Fengshui Residence
398,Delicias,ES,74.88,41.6493,-0.9076,INNSiDE Zaragoza
401,,,,,,
404,Ranong,TH,76.93,9.9658,98.6348,Numsai Khaosuay Resort Ranong
407,Phan Thiet,VN,79.75,10.9333,108.1,Hotel Saigon-PT
410,Conakry,GN,76.6,9.538,-13.6773,Riviera Royal Hotel
411,Buchanan,LR,74.73,5.8808,-10.0467,Kamaneahn Hotel Inc
413,Tuy Hoa,VN,80.46,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
414,Quang Ngai,VN,78.31,15.1167,108.8,Central Hotel
417,Pasighat,IN,78.57,28.0667,95.3333,Siang Guest House
420,Dzilam Gonzalez,MX,81.7,21.2833,-88.9333,posadas
421,Oussouye,SN,76.5,12.485,-16.5469,Auberge du Routard
422,,,,,,
423,Kapit,MY,85.51,2.0167,112.9333,Hotel Meligai Kapit
427,,,,,,
431,Corinto,GR,76.89,37.9407,22.9573,Ephira Hotel
435,Griffith,US,82.06,41.5284,-87.4237,Apartment above Depot Bar
436,Kupang,ID,83.95,-10.1667,123.5833,Hotel On The Rock by Prasanthi
439,Charters Towers,AU,71.49,-20.1,146.2667,Cattleman's Rest Motor Inn
443,Slave Lake,CA,73.38,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
445,Zhangjiakou,CN,82.22,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
446,Kirksville,US,80.82,40.1948,-92.5833,Budget Host-Village Inn
448,Touros,BR,73.06,-5.1989,-35.4608,INN NEW HORIZON
451,Karangasem,ID,78.1,-8.45,115.6167,Villa Campuhan
455,Neiafu,TO,81.28,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
458,Bay City,US,77.41,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
459,Balikpapan,ID,85.19,-1.2675,116.8289,Swiss-Belhotel Balikpapan
463,Kendari,ID,80.24,-3.945,122.4989,Hotel Wixel
470,Atar,MR,83.23,20.5169,-13.0499,Oumou Elghoura
478,Itaueira,BR,75.25,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
