City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Mount Gambier,AU,-37.8333,140.7667,56.14,53,6,8.81,clear sky
106,Yaan,NG,7.3833,8.5667,71.89,93,100,4.97,light rain
107,Gravdal,NO,68.1214,13.5031,54.95,85,100,11.95,overcast clouds
108,Machali,CL,-34.1833,-70.6667,48.92,58,0,3.71,clear sky
109,Japura,ID,-0.3167,102.35,79.03,91,70,2.82,broken clouds
110,Pevek,RU,69.7008,170.3133,31.98,89,100,16.84,overcast clouds
111,Upernavik,GL,72.7868,-56.1549,48.16,70,100,8.12,overcast clouds
112,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds
113,Luganville,VU,-15.5333,167.1667,83.75,72,16,11.5,few clouds
114,Banda Aceh,ID,5.5577,95.3222,84.9,61,71,12.1,broken clouds
115,Lengshuijiang,CN,27.6881,111.4294,87.85,70,100,2.84,overcast clouds
116,Victoria,HK,22.2855,114.1577,89.96,79,13,8.01,few clouds
117,Mandurah,AU,-32.55,115.7,57.9,79,100,20.51,light rain
118,Khudumelapye,BW,-23.8833,24.75,50.79,83,27,7.02,scattered clouds
119,Pocone,BR,-16.2567,-56.6228,72.82,36,77,3.15,broken clouds
120,Nesbyen,NO,60.5681,9.1027,66.36,84,100,4.63,light rain
121,Xiazhen,CN,34.8022,117.1117,80.73,71,23,4.99,few clouds
122,Yazoo City,US,32.8551,-90.4056,86.7,57,13,8.12,few clouds
123,Bumba,CD,2.1833,22.4667,69.89,98,89,2.19,light rain
124,Arraial Do Cabo,BR,-22.9661,-42.0278,70.2,84,17,11.05,few clouds
125,Kantunilkin,MX,21.0917,-87.45,79.99,75,13,4.29,few clouds
126,Dukat,RU,62.55,155.55,49.89,45,100,8.28,overcast clouds
127,Fortuna,US,40.5982,-124.1573,61.93,80,6,4.0,clear sky
128,Melfi,IT,40.9965,15.6514,63.5,39,0,3.91,clear sky
129,Huarmey,PE,-10.0681,-78.1522,62.58,84,19,9.89,few clouds
130,Lebu,CL,-37.6167,-73.65,51.26,95,100,7.27,overcast clouds
131,Amarkantak,IN,22.6667,81.75,72.63,83,87,2.46,moderate rain
132,Port Elizabeth,ZA,-33.918,25.5701,54.32,93,75,5.01,broken clouds
133,Minuri,PH,16.535,121.8574,85.44,73,100,2.66,light rain
134,Kadoma,JP,34.7333,135.5833,89.19,52,75,3.44,broken clouds
135,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.61,99,100,1.41,overcast clouds
136,Lagoa,PT,39.05,-27.9833,70.97,83,8,4.76,clear sky
137,East London,ZA,-33.0153,27.9116,60.01,87,29,9.42,scattered clouds
138,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,52,75,11.18,broken clouds
139,Kungurtug,RU,50.5994,97.5228,55.98,65,100,0.16,overcast clouds
140,Ancud,CL,-41.8697,-73.8203,40.23,64,32,9.82,scattered clouds
141,Felanitx,ES,39.4696,3.1483,79.14,73,0,5.59,clear sky
142,Bandarbeyla,SO,9.4942,50.8122,74.61,78,7,23.96,clear sky
143,Meulaboh,ID,4.1363,96.1285,79.99,73,100,2.48,overcast clouds
144,Manokwari,ID,-0.8667,134.0833,82.81,70,71,2.95,broken clouds
145,Fare,PF,-16.7,-151.0167,77.63,73,10,13.09,light rain
146,Sao Filipe,CV,14.8961,-24.4956,75.52,90,63,3.83,broken clouds
147,Nome,US,64.5011,-165.4064,48.27,87,100,12.66,moderate rain
148,Milos,GR,36.75,24.4333,73.8,69,0,24.34,clear sky
149,Tomatlan,MX,19.9333,-105.25,83.01,76,60,7.2,broken clouds
150,Nikolskoye,RU,59.7035,30.7861,62.78,86,8,6.73,clear sky
151,Bethanien,NA,-26.502,17.1583,47.48,61,8,1.7,clear sky
152,Tenenkou,ML,14.4572,-4.9169,77.56,81,89,6.91,overcast clouds
153,Severo-Kurilsk,RU,50.6789,156.125,52.38,97,98,13.62,light rain
154,Airai,TL,-8.9266,125.4092,68.27,67,56,3.51,broken clouds
155,Nueve De Julio,AR,-35.4444,-60.8831,51.91,75,0,6.82,clear sky
156,Abu Dhabi,AE,24.4667,54.3667,93.31,58,0,4.61,clear sky
157,Manoel Urbano,BR,-8.8389,-69.2597,72.28,60,0,0.31,clear sky
158,Fairbanks,US,64.8378,-147.7164,69.76,47,75,12.66,broken clouds
159,Huron,US,41.1501,-82.5499,81.16,92,0,11.95,clear sky
160,Rankovce,MK,42.1696,22.1162,56.19,46,0,4.85,clear sky
161,Logan,US,41.7355,-111.8344,93.9,31,0,6.91,clear sky
162,Necochea,AR,-38.5473,-58.7368,56.46,59,0,17.72,clear sky
163,Port Blair,IN,11.6667,92.75,78.84,94,100,2.3,moderate rain
164,Ponta Do Sol,PT,32.6667,-17.1,70.72,80,11,6.67,few clouds
165,Surskoye,RU,54.4821,46.7214,56.98,83,100,3.78,overcast clouds
166,Maniitsoq,GL,65.4167,-52.9,46.8,94,100,20.0,overcast clouds
167,Wakema,MM,16.6,95.1833,81.46,82,100,11.32,moderate rain
168,Shingu,JP,33.7333,135.9833,87.67,52,50,5.01,scattered clouds
169,Tazovskiy,RU,67.4667,78.7,45.5,87,100,10.89,overcast clouds
170,Bengkulu,ID,-3.8004,102.2655,80.44,79,15,1.12,few clouds
171,San Andres,CO,12.5847,-81.7006,84.22,74,40,11.5,scattered clouds
172,Lata,PT,40.1629,-8.3327,59.67,86,0,2.46,clear sky
173,Opuwo,NA,-18.0607,13.84,54.88,36,0,5.66,clear sky
174,Kuzhener,RU,56.8111,48.9128,54.68,85,20,3.06,few clouds
175,Bredasdorp,ZA,-34.5322,20.0403,43.7,90,0,5.46,clear sky
176,Scottsboro,US,34.6723,-86.0341,89.69,66,40,6.91,scattered clouds
177,Trojes,AL,41.756,19.962,64.56,40,0,6.62,clear sky
178,Hithadhoo,MV,-0.6,73.0833,79.7,78,99,5.82,light rain
179,Moche,PE,-8.1711,-79.0092,60.98,82,0,6.91,clear sky
180,Puerto Colombia,CO,10.9878,-74.9547,80.69,87,58,20.62,broken clouds
181,Bonfim,BR,3.0833,-59.95,75.18,87,69,2.13,broken clouds
182,Sabha,LY,27.0377,14.4283,78.03,29,0,8.63,clear sky
183,Prizren,XK,42.2139,20.7397,58.64,47,0,3.62,clear sky
184,Berdigestyakh,RU,62.0989,126.6992,74.35,69,76,3.0,light rain
185,Pontes E Lacerda,BR,-15.2261,-59.3353,69.66,42,5,2.68,clear sky
186,Chapleau,CA,47.8405,-83.4034,68.09,88,75,3.44,broken clouds
187,Grindavik,IS,63.8424,-22.4338,49.95,93,75,10.36,broken clouds
188,Zhigansk,RU,66.7697,123.3711,53.31,67,100,9.62,overcast clouds
189,Chake Chake,TZ,-5.2459,39.7666,72.97,78,15,11.41,few clouds
190,Nioki,CD,-2.7167,17.6833,73.38,81,8,2.71,clear sky
191,Iqaluit,CA,63.7506,-68.5145,49.73,81,75,0.0,shower rain
192,Lufilufi,WS,-13.8745,-171.5986,85.78,73,17,22.53,few clouds
193,Klaksvik,FO,62.2266,-6.589,49.12,92,94,18.72,overcast clouds
194,Tumpat,MY,6.1978,102.171,80.58,88,20,3.44,few clouds
195,Emba,KZ,48.8264,58.1442,70.92,45,100,1.88,overcast clouds
196,Kushiro,JP,42.975,144.3747,68.95,73,75,4.61,broken clouds
197,Luderitz,NA,-26.6481,15.1594,55.98,61,0,13.71,clear sky
198,Tayu,ID,-6.5397,111.0518,81.84,67,6,11.21,clear sky
199,Farkhor,TJ,37.4922,69.4036,88.45,17,0,3.27,clear sky
200,Poronaysk,RU,49.2167,143.1167,59.05,87,100,6.4,overcast clouds
201,Suhut,TR,38.5311,30.5458,55.2,74,0,5.06,clear sky
202,Mananjary,MG,-21.2167,48.3333,66.2,84,61,5.08,light rain
203,Kattivakkam,IN,13.2167,80.3167,81.07,86,93,10.22,overcast clouds
204,Ilulissat,GL,69.2167,-51.1,57.22,44,75,14.97,broken clouds
205,New Norfolk,AU,-42.7826,147.0587,48.92,57,0,1.74,clear sky
206,Hobyo,SO,5.3505,48.5268,74.7,81,41,21.56,scattered clouds
207,Provideniya,RU,64.3833,-173.3,46.51,71,75,13.42,broken clouds
208,Ibra,OM,22.6906,58.5334,79.88,76,96,4.74,overcast clouds
209,Zyryanka,RU,65.75,150.85,60.17,42,50,3.29,scattered clouds
210,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,91,43,0.72,scattered clouds
211,Kodiak,US,57.79,-152.4072,58.51,67,0,10.36,clear sky
212,Palu,ID,-0.8917,119.8707,88.86,59,11,1.39,few clouds
213,Lira,UG,2.235,32.9097,63.12,94,72,1.95,light rain
214,Gornji Milanovac,RS,44.0333,20.45,55.49,52,0,3.24,clear sky
215,Mahibadhoo,MV,3.7833,72.9667,81.9,72,100,19.17,overcast clouds
216,Tavrichanka,RU,43.3378,131.8639,71.46,93,100,6.78,overcast clouds
217,Tselinnoye,RU,53.0833,85.6667,62.58,63,100,6.85,overcast clouds
218,Natal,BR,-5.795,-35.2094,75.42,94,75,4.61,broken clouds
219,Jumla,NP,29.2747,82.1838,64.38,93,100,1.41,overcast clouds
220,Flin Flon,CA,54.7682,-101.865,66.09,55,81,10.71,broken clouds
221,Torbay,CA,47.6666,-52.7314,64.58,85,100,24.16,overcast clouds
222,Chuy,UY,-33.6971,-53.4616,57.6,96,83,9.86,light rain
223,Saint-Pierre,RE,-21.3393,55.4781,67.68,67,0,12.66,clear sky
224,Sur,OM,22.5667,59.5289,83.39,77,100,12.21,overcast clouds
225,Aykino,RU,62.2248,49.9922,59.18,89,17,3.13,few clouds
226,Pangkalanbuun,ID,-2.6833,111.6167,84.06,72,8,4.16,clear sky
227,Kavieng,PG,-2.5744,150.7967,82.9,76,97,11.56,light rain
228,Faanui,PF,-16.4833,-151.75,78.1,71,5,11.36,light rain
229,Puerto Asis,CO,0.5133,-76.5007,68.13,97,100,0.45,overcast clouds
230,Plaster Rock,CA,46.9065,-67.39,70.32,74,45,1.16,scattered clouds
231,Lavrentiya,RU,65.5833,-171.0,41.79,71,100,22.53,overcast clouds
232,Keetmanshoop,NA,-26.5833,18.1333,51.4,50,1,4.07,clear sky
233,Samarai,PG,-10.6167,150.6667,82.89,73,5,13.35,clear sky
234,Passo De Camaragibe,BR,-9.2368,-35.4901,76.55,95,100,4.97,light rain
235,Kruisfontein,ZA,-34.0033,24.7314,49.89,93,8,7.27,clear sky
236,Sept-Iles,CA,50.2001,-66.3821,71.6,51,20,6.91,few clouds
237,Sumenep,ID,-7.0167,113.8667,82.58,64,24,10.69,few clouds
238,Buriti Bravo,BR,-5.8372,-43.8336,70.48,33,5,5.06,clear sky
239,Vanimo,PG,-2.6741,141.3028,85.48,65,74,6.89,broken clouds
240,Lysva,RU,58.1086,57.8053,54.46,92,46,3.89,scattered clouds
241,Vao,NC,-22.6667,167.4833,74.1,89,100,9.78,overcast clouds
242,Paramonga,PE,-10.6667,-77.8333,62.44,82,77,9.55,broken clouds
243,Amahai,ID,-3.3333,128.9167,78.67,88,89,10.16,overcast clouds
244,San Quintin,MX,30.4833,-115.95,71.6,73,5,12.64,clear sky
245,Udachnyy,RU,66.4167,112.4,50.45,93,100,7.0,light rain
246,Pio Xii,BR,-3.8325,-45.1525,72.66,67,51,1.05,broken clouds
247,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
248,Ahipara,NZ,-35.1667,173.1667,57.15,69,19,20.29,few clouds
249,College,US,64.8569,-147.8028,69.75,48,75,12.66,broken clouds
250,The Valley,AI,18.217,-63.0578,82.26,81,4,22.08,clear sky
251,Kibaya,TZ,-5.3,36.5667,51.57,88,45,5.3,scattered clouds
252,Guerrero Negro,MX,27.9769,-114.0611,73.06,64,5,16.93,clear sky
253,Axim,GH,4.8699,-2.2405,72.64,76,7,7.43,clear sky
254,Manitouwadge,CA,49.1215,-85.8403,61.41,98,100,9.71,light rain
255,Maracacume,BR,-2.0428,-45.9592,72.16,94,21,2.39,few clouds
256,Awbari,LY,26.5921,12.7805,77.99,25,0,8.59,clear sky
257,Panacan,PH,9.2463,118.4082,84.85,64,100,2.75,overcast clouds
258,Olinda,BR,-8.0089,-34.8553,73.13,88,75,14.97,mist
259,Massakory,TD,12.996,15.7293,75.9,82,100,10.09,light rain
260,Chabahar,IR,25.2919,60.643,82.49,82,100,8.95,overcast clouds
261,Coihaique,CL,-45.5752,-72.0662,35.55,64,100,5.75,light rain
262,Tottori,JP,35.5,134.2333,78.87,83,100,4.61,overcast clouds
263,Sinnamary,GF,5.3833,-52.95,77.31,85,42,5.75,scattered clouds
264,San Policarpo,PH,12.1791,125.5072,84.4,76,100,5.82,light rain
265,Denpasar,ID,-8.65,115.2167,78.46,83,75,12.66,broken clouds
266,Vardo,NO,70.3705,31.1107,53.58,94,100,11.5,overcast clouds
267,Qasigiannguit,GL,68.8193,-51.1922,57.45,81,100,3.87,overcast clouds
268,Kihei,US,20.785,-156.4656,83.97,54,40,25.32,scattered clouds
269,Hasaki,JP,35.7333,140.8333,86.4,75,86,8.57,overcast clouds
270,Ukiah,US,39.1502,-123.2078,100.44,20,0,9.22,clear sky
271,Sandpoint,US,48.2766,-116.5533,88.43,29,0,6.91,clear sky
272,Santa Barbara,US,34.7333,-120.0343,82.35,42,0,8.05,clear sky
273,Ust-Kuyga,RU,70.0167,135.6,59.94,47,0,11.65,clear sky
274,Aksu,CN,41.1231,80.2644,76.71,38,0,17.2,clear sky
